"","age","gender","residence","length_residency","n_family","n_friends","n_acquaintances","B","CON","NE","EE","NE_cent","EE_cent","talk"
"197",NA,"","Bloemenbuurt",NA,1,0,4,4.85714285714286,3.75,2.4,2,-0.783018867924528,-0.245283018867925,NA
"198",37,"Vrouwelijk","Bloemenbuurt",21,0,0,0,5.57142857142857,5,3.6,2.5,0.416981132075472,0.254716981132075,1
"199",NA,"","Oosterpoort (greening)",NA,0,3,6,4.14285714285714,3.75,3.2,2.25,0.0169811320754718,0.0047169811320753,NA
"200",43,"Mannelijk","Poortershuizen",48,3,0,14,4.14285714285714,3.5,2.8,2.5,-0.383018867924529,0.254716981132075,2
"201",31,"Vrouwelijk","Bloemenbuurt",30,0,1,5,4.28571428571429,5,3,1.5,-0.183018867924528,-0.745283018867925,3
"202",67,"Mannelijk","Bloemenbuurt",516,0,15,25,4.14285714285714,3.75,2.2,2,-0.983018867924528,-0.245283018867925,2
"203",26,"Vrouwelijk","Bloemenbuurt",4,0,3,9,5,4.25,2.4,1,-0.783018867924528,-1.24528301886792,1
"204",NA,"","Bloemenbuurt",NA,0,3,9,5,4.25,2.4,1,-0.783018867924528,-1.24528301886792,NA
"205",68,"Vrouwelijk","Bloemenbuurt",48,0,3,9,5,4.25,2.4,1,-0.783018867924528,-1.24528301886792,3
"206",40,"Vrouwelijk","Bloemenbuurt",42,0,3,6,4.57142857142857,3.5,3.6,2,0.416981132075472,-0.245283018867925,4
"207",48,"Vrouwelijk","Oosterpoort (greening)",48,10,0,5,4.85714285714286,4.75,3,2,-0.183018867924528,-0.245283018867925,3
"208",44,"Mannelijk","Bloemenbuurt",110,0,6,2,3.14285714285714,4,3.4,2,0.216981132075472,-0.245283018867925,2
"209",43,"Mannelijk","Oosterpoort (greening)",120,0,1,4,4.14285714285714,5,2,1.75,-1.18301886792453,-0.495283018867925,3
